time,load@tsung_controller@3569fb844dae 
1930,0.2890625 
1940,0.3203125 
1950,0.26953125 
1960,0.23046875 
1970,0.19140625 
1980,0.16015625 
1990,0.140625 
2000,0.19140625 
2010,0.16015625 
2020,0.30078125 
2030,0.25 
2040,0.28125 
2050,0.390625 
2060,0.46875 
2070,0.3984375 
2080,0.33984375 
2090,0.2890625 
2100,0.23828125 
2110,0.2109375 
2120,0.171875 
2130,0.23046875 
2140,0.19140625 
2150,0.16015625 
2160,0.2109375 
2170,0.1796875 
2180,0.1484375 
2190,0.12890625 
2200,0.109375 
2210,0.08984375 
2220,0.078125 
2230,0.140625 
2240,0.12109375 
2250,0.1796875 
2260,0.30859375 
2270,0.421875 
2280,0.359375 
2290,0.30078125 
2300,0.26171875 
2310,0.30078125 
2320,0.25 
2330,0.2109375 
2340,0.1796875 
2350,0.1484375 
2360,0.12890625 
2370,0.109375 
2380,0.171875 
2390,0.21875 
2400,0.19140625 
2410,0.23828125 
2420,0.421875 
2430,0.578125 
2440,0.55859375 
2450,0.640625 
2460,0.5390625 
2470,0.609375 
2480,0.51953125 
2490,0.44140625 
2500,0.44921875 
2510,0.37890625 
2520,0.3203125 
2530,0.3515625 
2540,0.37109375 
2550,0.30859375 
2560,0.26171875 
2570,0.30078125 
2580,0.62890625 
2590,0.53125 
2600,0.53125 
2610,0.53125 
2620,0.44921875 
2630,0.37890625 
2640,0.3203125 
2650,0.26953125 
2660,0.23046875 
2670,0.19140625 
2680,0.23828125 
2690,0.19921875 
2700,0.171875 
2710,0.21875 
2720,0.19140625 
2730,0.23046875 
2740,0.3515625 
2750,0.2890625 
2760,0.3203125 
2770,0.26953125 
2780,0.23046875 
2790,0.26953125 
2800,0.23046875 
2810,0.19140625 
2820,0.16015625 
2830,0.30078125 
2840,0.25 
2850,0.2890625 
2860,0.23828125 
2870,0.28125 
2880,0.23828125 
2890,0.19921875 
2900,0.171875 
2910,0.140625 
2920,0.12109375 
2930,0.1015625 
2940,0.08984375 
2950,0.0703125 
2960,0.140625 
2980,0.12109375 
2990,0.1015625 
3000,0.23046875 
3010,0.19921875 
3020,0.171875 
3030,0.21875 
3040,0.19140625 
3050,0.16015625 
3060,0.12890625 
3070,0.19140625 
3080,0.55859375 
3090,0.48046875 
3100,0.3984375 
3110,0.421875 
3120,0.359375 
3130,0.30078125 
3140,0.5 
3150,0.421875 
3160,0.359375 
3170,0.30078125 
3180,0.328125 
3190,0.28125 
3200,0.30859375 
3210,0.26171875 
3220,0.21875 
3230,0.4296875 
3240,0.51953125 
3250,0.44140625 
3260,0.44921875 
3270,0.4609375 
3280,0.390625 
3290,0.328125 
3300,0.28125 
3310,0.30859375 
3320,0.26953125 
3330,0.390625 
3340,0.328125 
3350,0.28125 
3360,0.23046875 
3370,0.28125 
3380,0.3203125 
3390,0.26953125 
3400,0.23046875 
3410,0.19140625 
3420,0.16015625 
3430,0.2109375 
3440,0.26171875 
3450,0.21875 
3460,0.33984375 
3470,0.4296875 
3480,0.37109375 
3490,0.37890625 
3500,0.328125 
3510,0.28125 
3520,0.23046875 
3530,0.48828125 
3540,0.421875 
3550,0.3515625 
3560,0.30078125 
3570,0.328125 
3580,0.28125 
3590,0.23828125 
3600,0.28125 
3610,0.23828125 
3620,0.28125 
3630,0.23046875 
3640,0.19921875 
3650,0.171875 
3660,0.140625 
3670,0.12109375 
3680,0.1015625 
3690,0.08984375 
3700,0.0703125 
3710,0.05859375 
3720,0.12890625 
3730,0.19140625 
3740,0.3203125 
3750,0.26953125 
3760,0.23046875 
3770,0.19140625 
3780,0.16015625 
3790,0.140625 
3800,0.19140625 
3810,0.16015625 
3820,0.2109375 
3830,0.1796875 
3840,0.1484375 
3850,0.12890625 
3860,0.109375 
3870,0.171875 
3880,0.140625 
3890,0.12109375 
3900,0.1796875 
3910,0.23046875 
3920,0.359375 
3930,0.30078125 
3940,0.48046875 
3950,0.53125 
3960,0.51953125 
3970,0.44140625 
3980,0.37890625 
3990,0.4609375 
4000,0.390625 
4010,0.48828125 
4020,0.5703125 
4030,0.48046875 
4040,0.41015625 
4050,0.4296875 
4060,0.44140625 
4070,0.69140625 
4080,0.58984375 
4090,0.5 
4100,0.421875 
4110,0.359375 
4120,0.37109375 
4130,0.3984375 
4140,0.421875 
4150,0.4296875 
4160,0.44921875 
4170,0.4609375 
4180,0.390625 
4190,0.328125 
4200,0.3515625 
4210,0.44921875 
4220,0.44921875 
4230,0.37890625 
4240,0.3984375 
4250,0.33984375 
4260,0.2890625 
4270,0.23828125 
4280,0.19921875 
4290,0.171875 
4300,0.1484375 
4310,0.12109375 
4320,0.1015625 
4330,0.08984375 
4340,0.078125 
4350,0.140625 
4360,0.12109375 
4370,0.1015625 
4380,0.08984375 
4390,0.1484375 
4400,0.12890625 
4410,0.19140625 
4420,0.23828125 
4430,0.19921875 
4440,0.171875 
4450,0.21875 
4460,0.19140625 
4470,0.23828125 
4480,0.19921875 
4490,0.23828125 
4500,0.2109375 
4510,0.25 
4520,0.2109375 
4530,0.1796875 
4540,0.1484375 
4550,0.19921875 
4560,0.3203125 
4570,0.26953125 
4580,0.30859375 
4590,0.26171875 
4600,0.21875 
4610,0.19140625 
4620,0.16015625 
4630,0.12890625 
4640,0.19140625 
4660,0.16015625 
4670,0.2890625 
4680,0.23828125 
4690,0.19921875 
4700,0.25 
4710,0.2109375 
4720,0.1796875 
4730,0.1484375 
4740,0.12890625 
4750,0.26171875 
4760,0.21875 
4770,0.33984375 
4780,0.37109375 
