time,connect,request 
3870,528.4,1094.1 
3880,396.1,861 
3890,513.8,973.2 
3900,537.8,1020.9 
3910,448.9,913.5 
3920,441.5,918.3 
3930,461.5,1015 
3940,565.2,1068.2 
3950,588.4,1113.9 
3960,482.3,970.2 
3970,498.1,1122.4 
3980,449.7,795.8 
3990,416.2,898.5 
4000,407,790.8 
4010,408.1,883.3 
4020,404,786.2 
4030,405.2,802.6 
4040,408.1,859.7 
4050,402.1,762.9 
4060,420.9,831.1 
4070,419.2,772.6 
4080,424.8,911.8 
4090,424.1,924.1 
4100,412.8,750.1 
4110,404.5,728.6 
4120,411.6,847.2 
4130,405.3,781.7 
4140,440.4,959.6 
4150,415.3,753.8 
4160,414,881.4 
4170,406.2,838 
4180,410.5,839.6 
4190,417.2,839.7 
4200,420,705.7 
4210,425.4,849.8 
4220,416.5,841.5 
4230,417.2,790.7 
4240,418.9,862.1 
4250,426.5,850.9 
4260,417.9,845.5 
4270,423.1,974 
4280,407.3,674.8 
4290,408.3,805.6 
4300,356.6,750.5 
4310,440.2,859.6 
4320,425.4,847.5 
4330,417,787.3 
4340,415.6,850.2 
4350,394.3,868.6 
4360,428.2,808.5 
4370,451.3,867.6 
4380,383.3,856.7 
4390,397.2,843.5 
4400,445.7,819.6 
4410,427.6,781.8 
4420,411.6,863.6 
4430,424,779.7 
4440,408.6,949.6 
4450,386.2,726.9 
4460,378.7,836.8 
4470,410.9,689.8 
4480,395.1,809.4 
4490,446.7,868.6 
4500,349.4,706.7 
4510,438.1,867.4 
4520,340.8,684.6 
4530,453.4,852.3 
4540,361.7,799 
4550,337.2,700.3 
4560,476.7,947.5 
4570,378.7,720.9 
4580,447.9,881.2 
4590,458.8,921.4 
4600,386.1,912.1 
4610,427.2,656.9 
4620,407.9,881 
4630,387.6,894 
4640,433.3,716.5 
4650,385.4,906.2 
4660,429.3,726.9 
4670,445,1036.2 
4680,435.2,760 
4690,438.9,782.7 
4700,416.6,906.6 
4710,407.6,871 
4720,469.4,855.7 
4730,398.8,891.6 
4740,420.1,761.6 
4750,411.6,816.1 
4760,349.2,756 
4770,439.5,760.3 
4780,367.7,873.6 
