time,size_rcv,size_sent 
3920,800.68359375,1008.23046875 
3930,897.846875,1107.60234375 
3940,940.1203125,1276.9421875 
3950,961.81953125,1280.9578125 
3960,848.5,1096.7921875 
3970,985.8984375,1187.028125 
3980,693.03125,976.09765625 
3990,793.31953125,988.47734375 
4000,686.796875,902 
4010,771.97109375,948.4078125 
4020,687.2078125,908.175 
4030,707.0828125,930.1984375 
4040,747.89453125,931.31640625 
4050,672.83671875,913.1828125 
4060,727.27890625,953.1078125 
4070,667.63125,906.54453125 
4080,792.725,973.74765625 
4090,818.16328125,1015.83671875 
4100,656.24453125,910.91953125 
4110,643.9,907.30703125 
4120,732.26875,919.48125 
4130,682.19453125,905.89765625 
4140,849.9296875,1056.26328125 
4150,651.3671875,894.421875 
4160,777.06875,975.51328125 
4170,734.3125,934.6328125 
4180,734.596875,939.246875 
4190,734.72421875,949.8578125 
4200,610.56796875,887.334375 
4210,743.7078125,965.7140625 
4220,736.27265625,949.1765625 
4230,698.75546875,950.92421875 
4240,753.81953125,959.12578125 
4250,745.58671875,971.3703125 
4260,739.24140625,951.2078125 
4270,852.0109375,1006.36796875 
4280,585.3234375,861.30546875 
4290,710.478125,937.5453125 
4300,653.32734375,814.1921875 
4310,748.2453125,981.67265625 
4320,741.68203125,964.0796875 
4330,695.72734375,947.0734375 
4340,744.1375,950.13203125 
4350,760.2109375,923.7890625 
4360,714.59609375,973.9 
4370,751.446875,990.75625 
4380,750.23671875,903.38828125 
4390,734.75546875,910.20546875 
4400,727.8546875,1014.68046875 
4410,676.2390625,923.6515625 
4420,746.671875,924.515625 
4430,691.99921875,964.3796875 
4440,817.9375,940.515625 
4450,647.71171875,892.6046875 
4460,732.6515625,890.07109375 
4470,597.0671875,869.659375 
4480,715.1046875,922.8484375 
4490,759.0953125,1003.146875 
4500,611.68203125,778.6421875 
4510,760.090625,995.69453125 
4520,598.5734375,773.8640625 
4530,753.29296875,1031.24609375 
4540,701.728125,855.51796875 
4550,620.18671875,795.05546875 
4560,818.95546875,1053.81796875 
4570,622.16796875,824.125 
4580,772.803125,1016.525 
4590,815.89375,1069.96953125 
4600,794.99296875,917.971875 
4610,574.85390625,899.62265625 
4620,771.5390625,950.4140625 
4630,779.6734375,913.12265625 
4640,623.23203125,920.82734375 
4650,798.6359375,937.5671875 
4660,629.19765625,908.83359375 
4670,913.1828125,1079.0359375 
4680,653.2328125,917.72421875 
4690,697.38671875,995.65234375 
4700,792.0265625,968.3015625 
4710,762.55,945.90703125 
4720,748.83046875,1036.4546875 
4730,780.2296875,939.33671875 
4740,666.0015625,925.525 
4750,706.61015625,913.125 
4760,661.18125,813.13671875 
4770,673.72265625,979.21328125 
4780,763.125,880.875 
