time,recvpackets@tsung_controller@3569fb844dae 
1420,19097.0 
1430,18815.0 
1440,18978.0 
1450,19308.0 
1460,19091.0 
1470,19337.0 
1480,18937.0 
1490,19081.0 
1500,19342.0 
1510,18611.0 
1520,19064.0 
1530,18756.0 
1540,19161.0 
1550,18916.0 
1560,18889.0 
1570,19315.0 
1580,19040.0 
1590,19022.0 
1600,18915.0 
1610,18782.0 
1620,18934.0 
1630,19074.0 
1640,18257.0 
1650,18396.0 
1660,18964.0 
1670,18843.0 
1680,18667.0 
1690,18927.0 
1700,18832.0 
1710,18760.0 
1720,18841.0 
1730,18873.0 
1740,18862.0 
1750,19090.0 
1760,18606.0 
1770,18645.0 
1780,18961.0 
1790,18550.0 
1800,18628.0 
1810,18779.0 
1820,19301.0 
1830,19259.0 
1840,18655.0 
1850,18766.0 
1860,19095.0 
1870,18395.0 
1880,19159.0 
1890,19114.0 
1900,18812.0 
1910,18797.0 
1920,18721.0 
1930,18696.0 
1940,19149.0 
1950,18743.0 
1960,18388.0 
1970,18502.0 
1980,18001.0 
1990,18750.0 
2000,18530.0 
2010,18817.0 
2020,18667.0 
2030,18425.0 
2040,18581.0 
2050,18730.0 
2060,19328.0 
2070,18856.0 
2080,18316.0 
2090,18451.0 
2100,18987.0 
2110,19084.0 
2120,18684.0 
2130,18448.0 
2140,18730.0 
2150,19069.0 
2160,18498.0 
2170,18229.0 
2180,18202.0 
2190,19005.0 
2200,18699.0 
2210,18697.0 
2220,18530.0 
2230,18954.0 
2240,19083.0 
2250,18674.0 
2260,18458.0 
2270,18577.0 
2280,18742.0 
2290,18438.0 
2300,18662.0 
2310,18311.0 
2320,18818.0 
2330,18713.0 
2340,18437.0 
2350,18876.0 
2360,18601.0 
2370,18638.0 
2380,18595.0 
2390,18962.0 
2400,18827.0 
2410,18870.0 
2420,18406.0 
2430,18620.0 
2440,18960.0 
2450,18932.0 
2460,18737.0 
2470,18233.0 
2480,18736.0 
2490,18665.0 
2500,18566.0 
2510,18863.0 
2520,18720.0 
2530,18645.0 
2540,18671.0 
2550,18365.0 
2560,18763.0 
2570,18747.0 
2580,18680.0 
2590,18771.0 
2600,18617.0 
2610,18744.0 
2620,18457.0 
2630,18592.0 
2640,18543.0 
2650,18535.0 
2660,18582.0 
2670,18266.0 
2680,19043.0 
2690,18605.0 
2700,18767.0 
2710,18796.0 
2720,18419.0 
2730,18460.0 
2740,18465.0 
2750,19155.0 
2760,18725.0 
2770,18394.0 
2780,18406.0 
2790,18170.0 
2800,18375.0 
2810,18801.0 
2820,18531.0 
2830,18642.0 
2840,18868.0 
2850,18131.0 
2860,18265.0 
2870,18419.0 
2880,18982.0 
2890,18031.0 
2900,18950.0 
2910,18416.0 
2920,18469.0 
2930,18738.0 
2940,18914.0 
2950,18136.0 
2960,18326.0 
2980,18613.0 
2990,18593.0 
3000,18363.0 
3010,18663.0 
3020,18889.0 
3030,18586.0 
3040,18362.0 
3050,18601.0 
3060,18807.0 
3070,18625.0 
3080,18664.0 
3090,18176.0 
3100,18893.0 
3110,18368.0 
3120,18655.0 
3130,18488.0 
3140,18279.0 
3150,18603.0 
3160,18837.0 
3170,18544.0 
3180,18722.0 
3190,18737.0 
3200,18332.0 
3210,18364.0 
3220,18499.0 
3230,18539.0 
3240,18537.0 
3250,18499.0 
3260,18771.0 
3270,1.85e4 
3280,18544.0 
3290,18095.0 
3300,18447.0 
3310,18312.0 
3320,19131.0 
3330,18276.0 
3340,18464.0 
3350,18082.0 
3360,18129.0 
3370,18488.0 
3380,18555.0 
3390,18327.0 
3400,18868.0 
3410,18439.0 
3420,18387.0 
3430,18279.0 
3440,18207.0 
3450,18307.0 
3460,18679.0 
3470,18115.0 
3480,18667.0 
3490,18816.0 
3500,18435.0 
3510,18553.0 
3520,18290.0 
3530,18192.0 
3540,1.82e4 
3550,18744.0 
3560,18081.0 
3570,18433.0 
3580,18333.0 
3590,1.83e4 
3600,18471.0 
3610,18310.0 
3620,17856.0 
3630,17545.0 
3640,17939.0 
3650,18150.0 
3660,1.81e4 
3670,18633.0 
3680,18343.0 
3690,18395.0 
3700,18082.0 
3710,18056.0 
3720,17919.0 
3730,17955.0 
3740,18167.0 
3750,18492.0 
3760,18295.0 
3770,17970.0 
3780,17963.0 
3790,18363.0 
3800,18448.0 
3810,18431.0 
3820,18742.0 
3830,18344.0 
3840,17895.0 
3850,18102.0 
3860,18065.0 
3870,18337.0 
3880,18055.0 
3890,17938.0 
3900,17853.0 
3910,17936.0 
3920,17895.0 
3930,18195.0 
3940,17615.0 
3950,18960.0 
3960,18036.0 
3970,17947.0 
3980,18438.0 
3990,17964.0 
4000,18191.0 
4010,17746.0 
4020,18089.0 
4030,17570.0 
4040,18027.0 
4050,18168.0 
4060,18599.0 
4070,18457.0 
4080,1.82e4 
4090,18334.0 
4100,18337.0 
4110,17783.0 
4120,17829.0 
4130,18084.0 
4140,18479.0 
4150,18395.0 
4160,18064.0 
4170,17991.0 
4180,18317.0 
4190,18242.0 
4200,17978.0 
4210,17830.0 
4220,17986.0 
4230,17949.0 
4240,18012.0 
4250,18190.0 
4260,18112.0 
4270,18525.0 
4280,18304.0 
4290,17587.0 
4300,17751.0 
4310,17925.0 
4320,17667.0 
4330,18014.0 
4340,18172.0 
4350,18194.0 
4360,18081.0 
4370,18509.0 
4380,18287.0 
4390,18122.0 
4400,18058.0 
4410,18334.0 
4420,18154.0 
4430,18597.0 
4440,18238.0 
4450,17326.0 
4460,17780.0 
4470,17817.0 
4480,17599.0 
4490,17960.0 
4500,18181.0 
4510,18112.0 
4520,17846.0 
4530,18138.0 
4540,17818.0 
4550,17620.0 
4560,18282.0 
4570,18297.0 
4580,18637.0 
4590,18187.0 
4600,18110.0 
4610,17977.0 
4620,18445.0 
4630,18322.0 
4640,1.85e4 
4660,18211.0 
4670,18059.0 
4680,18260.0 
4690,18158.0 
4700,18510.0 
4710,18418.0 
4720,18474.0 
4730,18302.0 
4740,18467.0 
4750,18383.0 
4760,18545.0 
4770,18286.0 
4780,18487.0 
